product_id,name,description,price,category_id,brand,stock_quantity,image_url,orders_id
1,Face Cream,Moisturizing face cream for daily use,19.99,1,BrandA,100,http://example.com/face_cream.jpg,1
2,Shampoo,Nourishing shampoo for all hair types,9.99,2,BrandB,200,http://example.com/shampoo.jpg,2
3,Body Lotion,Hydrating body lotion with aloe vera,14.99,3,BrandC,150,http://example.com/body_lotion.jpg,3
4,Hand Cream,Moisturizing hand cream,5.99,3,BrandD,120,http://example.com/hand_cream.jpg,4
5,Hair Conditioner,Nourishing hair conditioner,10.99,2,BrandE,180,http://example.com/hair_conditioner.jpg,5
6,Body Wash,Refreshing body wash,7.99,3,BrandF,130,http://example.com/body_wash.jpg,6
7,Face Mask,Revitalizing face mask,12.99,1,BrandG,90,http://example.com/face_mask.jpg,7
8,Hair Serum,Smoothing hair serum,15.99,2,BrandH,110,http://example.com/hair_serum.jpg,8
9,Foot Cream,Softening foot cream,6.99,3,BrandI,140,http://example.com/foot_cream.jpg,9
10,Shower Gel,Refreshing shower gel,8.99,3,BrandJ,170,http://example.com/shower_gel.jpg,10
11,Facial Cleanser,Gentle facial cleanser,13.99,1,BrandK,100,http://example.com/facial_cleanser.jpg,11
12,Hair Oil,Nourishing hair oil,16.99,2,BrandL,120,http://example.com/hair_oil.jpg,12
13,Body Scrub,Exfoliating body scrub,11.99,3,BrandM,130,http://example.com/body_scrub.jpg,13
14,Eye Cream,Anti-aging eye cream,17.99,1,BrandN,80,http://example.com/eye_cream.jpg,14
15,Hair Mask,Repairing hair mask,14.99,2,BrandO,100,http://example.com/hair_mask.jpg,15
16,Body Butter,Ultra moisturizing body butter,18.99,3,BrandP,110,http://example.com/body_butter.jpg,16
17,Lip Balm,Hydrating lip balm,4.99,4,BrandQ,150,http://example.com/lip_balm.jpg,17
18,Hair Spray,Flexible hold hair spray,9.99,2,BrandR,140,http://example.com/hair_spray.jpg,18
19,Body Mist,Refreshing body mist,7.99,3,BrandS,160,http://example.com/body_mist.jpg,19
20,Face Serum,Anti-aging face serum,21.99,1,BrandT,90,http://example.com/face_serum.jpg,20
21,Day Cream,Hydrating day cream with SPF,19.99,1,BrandU,100,http://example.com/day_cream.jpg,21
